company_id,type,rule_id,text,confidence_pct
ABB,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,90.59
ABB,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy business fundamentals,100.0
ABB,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
ABB,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,95.59
ABB,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,65.78
ABB,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,85.0
ABB,con,CON_5,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss,75.0
ABB,con,CON_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,98.48
ADANIENSOL,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,80.0
ADANIENSOL,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,66.83
ADANIENSOL,con,CON_1,Debt-to-equity ratio of 2.93 is elevated for a non-financial company and warrants monitoring,86.66
ADANIENSOL,con,CON_3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,75.0
ADANIENSOL,con,CON_5,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss,75.0
ADANIENSOL,con,CON_8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,75.0
ADANIENSOL,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,77.5
ADANIENSOL,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,90.41
ADANIENSOL,con,CON_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,87.18
ADANIENT,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,65.66
ADANIENT,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,78.19
ADANIENT,con,CON_5,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss,75.0
ADANIENT,con,CON_8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,75.0
ADANIENT,con,CON_9,Earnings per share declining for 3 consecutive years reflects deteriorating profitability,75.0
ADANIENT,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,82.72
ADANIENT,con,CON_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,97.54
ADANIGREEN,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
ADANIGREEN,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,71.01
ADANIGREEN,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,74.72
ADANIGREEN,con,CON_1,Debt-to-equity ratio of 6.60 is elevated for a non-financial company and warrants monitoring,100.0
ADANIGREEN,con,CON_3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,75.0
ADANIGREEN,con,CON_5,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss,75.0
